xintercept	key	showSelected1	PANEL
1.5	2	2	1
2.5	2	2	1
3.5	2	2	1
3.5	2	2	1
3.5	2	2	1
3.5	2	2	1
3.5	2	2	1
3.5	2	2	1
3.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
2.5	2	2	1
34.5	2	2	1
34.5	2	2	1
34.5	2	2	1
34.5	2	2	1
34.5	2	2	1
34.5	2	2	1
2.5	3	3	1
1.5	2	3	1
3.5	3	3	1
2.5	2	3	1
4.5	3	3	1
3.5	2	3	1
5.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
6.5	3	3	1
3.5	2	3	1
34.5	3	3	1
33.5	2	3	1
35.5	3	3	1
34.5	2	3	1
36.5	3	3	1
34.5	2	3	1
37.5	3	3	1
34.5	2	3	1
37.5	3	3	1
34.5	2	3	1
37.5	3	3	1
34.5	2	3	1
